Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2019,AK,Total Electric Industry,"1,928,208","2,638,846","1,251,751",0,NA,5818805
2019,AL,Total Electric Industry,"32,415,646","23,076,470","32,602,996",0,NA,88095112
2019,AR,Total Electric Industry,"18,732,316","11,948,689","17,411,611",416,NA,48093032
2019,AZ,Total Electric Industry,"34,720,050","29,415,272","13,782,704","11,144",NA,77929170
2019,CA,Total Electric Industry,"87,523,987","114,279,373","47,807,729","767,621",NA,250378710
2019,CO,Total Electric Industry,"19,404,743","21,111,259","15,891,020","113,801",NA,56520823
2019,CT,Total Electric Industry,"12,493,550","12,157,788","3,071,792","176,866",NA,27899996
2019,DC,Total Electric Industry,"2,546,920","7,952,305","179,632","349,546",NA,11028403
2019,DE,Total Electric Industry,"5,004,131","4,421,465","2,043,826",0,NA,11469422
2019,FL,Total Electric Industry,"127,181,551","96,566,532","16,514,482","85,390",NA,240347955
2019,GA,Total Electric Industry,"59,331,491","47,411,823","32,393,384","164,292",NA,139300990
2019,HI,Total Electric Industry,"2,759,774","3,057,866","3,635,247",0,NA,9452887
2019,IA,Total Electric Industry,"14,494,821","12,309,610","24,238,717",0,NA,51043148
2019,ID,Total Electric Industry,"8,696,843","6,440,943","8,847,489",0,NA,23985275
2019,IL,Total Electric Industry,"45,220,258","49,278,746","43,250,445","570,032",NA,138319481
2019,IN,Total Electric Industry,"33,249,234","23,517,681","45,316,682","20,606",NA,102104203
2019,KS,Total Electric Industry,"13,630,661","15,916,325","11,612,642",0,NA,41159628
2019,KY,Total Electric Industry,"26,573,076","19,611,510","29,160,796",0,NA,75345382
2019,LA,Total Electric Industry,"30,986,024","24,284,298","37,846,317","11,886",NA,93128525
2019,MA,Total Electric Industry,"19,314,571","25,336,834","6,341,699","343,494",NA,51336598
2019,MD,Total Electric Industry,"27,533,693","28,893,335","3,718,412","575,218",NA,60720658
2019,ME,Total Electric Industry,"4,793,809","4,148,305","2,789,926",0,NA,11732040
2019,MI,Total Electric Industry,"33,495,725","37,860,783","29,886,432","6,353",NA,101249293
2019,MN,Total Electric Industry,"22,288,152","22,904,299","21,748,034","25,109",NA,66965594
2019,MO,Total Electric Industry,"35,691,426","30,133,114","13,009,718","23,517",NA,78857775
2019,MS,Total Electric Industry,"18,717,858","14,238,982","15,994,186",0,NA,48951026
2019,MT,Total Electric Industry,"5,308,103","4,956,080","5,057,088",0,NA,15321271
2019,NC,Total Electric Industry,"59,852,793","49,173,038","27,391,009","18,691",NA,136435531
2019,ND,Total Electric Industry,"5,125,431","7,035,031","9,398,793",0,NA,21559255
2019,NE,Total Electric Industry,"10,307,905","9,456,725","10,618,560",0,NA,30383190
2019,NH,Total Electric Industry,"4,506,830","4,280,854","1,923,973",0,NA,10711657
2019,NJ,Total Electric Industry,"28,612,555","38,012,684","6,990,063","301,402",NA,73916704
2019,NM,Total Electric Industry,"6,871,561","9,028,861","8,979,712",0,NA,24880134
2019,NV,Total Electric Industry,"12,867,637","11,681,186","12,425,536","8,027",NA,36982386
2019,NY,Total Electric Industry,"50,141,003","75,090,820","17,548,457","2,820,065",NA,145600345
2019,OH,Total Electric Industry,"52,226,097","46,008,937","50,249,178","37,708",NA,148521920
2019,OK,Total Electric Industry,"23,805,972","20,085,991","20,903,983",0,NA,64795946
2019,OR,Total Electric Industry,"19,286,182","16,422,975","14,668,288","26,941",NA,50404386
2019,PA,Total Electric Industry,"54,396,182","40,142,710","50,422,724","618,767",NA,145580383
2019,RI,Total Electric Industry,"2,983,012","3,644,482","695,416","27,005",NA,7349915
2019,SC,Total Electric Industry,"31,159,957","22,168,328","26,877,335",0,NA,80205620
2019,SD,Total Electric Industry,"5,057,032","4,888,034","2,923,865",0,NA,12868931
2019,TN,Total Electric Industry,"42,573,183","36,151,394","21,104,523",0,NA,99829100
2019,TX,Total Electric Industry,"155,481,342","142,001,524","131,673,922","186,616",NA,429343404
2019,UT,Total Electric Industry,"9,739,525","11,860,449","9,490,843","51,748",NA,31142565
2019,VA,Total Electric Industry,"46,666,163","53,981,176","17,598,247","189,794",NA,118435380
2019,VT,Total Electric Industry,"2,081,545","1,934,464","1,411,655",0,NA,5427664
2019,WA,Total Electric Industry,"36,512,424","29,269,638","25,171,873","98,861",NA,91052796
2019,WI,Total Electric Industry,"21,995,360","23,546,114","23,614,832","1,234",NA,69157540
2019,WV,Total Electric Industry,"11,153,219","7,567,130","14,526,664",0,NA,33247013
2019,WY,Total Electric Industry,"2,849,378","3,575,477","10,338,641",0,NA,16763496
